election_date,election_type,contest_status,constituency_number,constituency_name,province,assembly,voter_reg,validated_votes,votes_disq,candidateID,candidate_name,candidate_party,candidate_votes,candidate_share,candidate_rank,outcome
2008-02-18,General Election,Contested,NA-36,Tribal Area 1,Islamabad and FATA,National,126007.0,22873.0,390.0,mtryGrIOTd,Bilal Rehman,Independents,5270.0,0.230402658,1.0,Win
2008-02-18,General Election,Contested,NA-36,Tribal Area 1,Islamabad and FATA,National,126007.0,22873.0,390.0,8TKaT0bRBm,Shahbaz Khan Mohmand,Independents,4229.0,0.184890482,2.0,Loss
2008-02-18,General Election,Contested,NA-36,Tribal Area 1,Islamabad and FATA,National,126007.0,22873.0,390.0,l06do4ILjD,Maulana Ghulam Mohammad Sadiq,Independents,3483.0,0.152275609,3.0,Loss
2008-02-18,General Election,Contested,NA-36,Tribal Area 1,Islamabad and FATA,National,126007.0,22873.0,390.0,90mVPRP1FM,Fazal Manan Mohmand,Independents,2111.0,0.092292222,4.0,Loss
2008-02-18,General Election,Contested,NA-36,Tribal Area 1,Islamabad and FATA,National,126007.0,22873.0,390.0,deYKOGooJu,Farooq Afzal,Independents,1892.0,0.082717615,5.0,Loss
2008-02-18,General Election,Contested,NA-36,Tribal Area 1,Islamabad and FATA,National,126007.0,22873.0,390.0,EePOUTSmmd,Muhammad Naseer,Independents,1826.0,0.079832116,6.0,Loss
2008-02-18,General Election,Contested,NA-36,Tribal Area 1,Islamabad and FATA,National,126007.0,22873.0,390.0,W3LCsemwoQ,Asghar Khan,Independents,1332.0,0.0582346,7.0,Loss
2008-02-18,General Election,Contested,NA-36,Tribal Area 1,Islamabad and FATA,National,126007.0,22873.0,390.0,6IJHZWM1xL,Hafiz Mohabat Khan,Independents,1023.0,0.044725222,8.0,Loss
2008-02-18,General Election,Contested,NA-36,Tribal Area 1,Islamabad and FATA,National,126007.0,22873.0,390.0,ewSevANP3d,Ataullah,Independents,393.0,0.01718183,9.0,Loss
2008-02-18,General Election,Contested,NA-36,Tribal Area 1,Islamabad and FATA,National,126007.0,22873.0,390.0,iJxWw8lZ3r,Khair Ullah,Independents,367.0,0.016045119,10.0,Loss
2008-02-18,General Election,Contested,NA-36,Tribal Area 1,Islamabad and FATA,National,126007.0,22873.0,390.0,CwMxMKWjCW,Ihsan Ullah,Independents,318.0,0.013902855,11.0,Loss
2008-02-18,General Election,Contested,NA-36,Tribal Area 1,Islamabad and FATA,National,126007.0,22873.0,390.0,pgAROrn0Gk,Shahen Shah,Independents,169.0,0.007388624,12.0,Loss
2008-02-18,General Election,Contested,NA-36,Tribal Area 1,Islamabad and FATA,National,126007.0,22873.0,390.0,6ZFgSSKBtQ,Shahbaz Yasar Ali,Independents,141.0,0.006164473,13.0,Loss
2008-02-18,General Election,Contested,NA-36,Tribal Area 1,Islamabad and FATA,National,126007.0,22873.0,390.0,bE1oqJxbCq,Wazir Muhammad Khan,Independents,94.0,0.004109649,14.0,Loss
2008-02-18,General Election,Contested,NA-36,Tribal Area 1,Islamabad and FATA,National,126007.0,22873.0,390.0,87flvstGat,Saeed-Ur-Rehman,Independents,60.0,0.00262318,15.0,Loss
2008-02-18,General Election,Contested,NA-36,Tribal Area 1,Islamabad and FATA,National,126007.0,22873.0,390.0,sXLS6uXJtk,Javid Yousaf Mohmand,Independents,55.0,0.002404582,16.0,Loss
2008-02-18,General Election,Contested,NA-36,Tribal Area 1,Islamabad and FATA,National,126007.0,22873.0,390.0,vneJwV029i,Mualim Khan,Independents,25.0,0.001092992,17.0,Loss
2008-02-18,General Election,Contested,NA-36,Tribal Area 1,Islamabad and FATA,National,126007.0,22873.0,390.0,CC1IRRZRiy,Aftab Ahmad Khan,Independents,24.0,0.001049272,18.0,Loss
2008-02-18,General Election,Contested,NA-36,Tribal Area 1,Islamabad and FATA,National,126007.0,22873.0,390.0,p0Fu3IyP02,Riyasat Ali Khan,Independents,24.0,0.001049272,18.0,Loss
2008-02-18,General Election,Contested,NA-36,Tribal Area 1,Islamabad and FATA,National,126007.0,22873.0,390.0,ClzVtSaZYr,Malik Manzoor Khan,Independents,21.0,0.000918113,19.0,Loss
2008-02-18,General Election,Contested,NA-36,Tribal Area 1,Islamabad and FATA,National,126007.0,22873.0,390.0,jnUCi9sqja,Ikramullah Khan,Independents,16.0,0.000699515,20.0,Loss
2008-02-18,General Election,Contested,NA-38,Tribal Area 3,Islamabad and FATA,National,87993.0,24900.0,19.0,OkRYQZnRRI,Munir Khan Orakzai,Independents,16525.0,0.663654618,1.0,Win
2008-02-18,General Election,Contested,NA-38,Tribal Area 3,Islamabad and FATA,National,87993.0,24900.0,19.0,1rAPoQiroG,Maulana Akhunzada Obaidullah Sharif,Independents,4270.0,0.171485944,2.0,Loss
2008-02-18,General Election,Contested,NA-38,Tribal Area 3,Islamabad and FATA,National,87993.0,24900.0,19.0,qEnrekJWHe,Habib Malik Orakzai,Independents,2990.0,0.120080321,3.0,Loss
2008-02-18,General Election,Contested,NA-38,Tribal Area 3,Islamabad and FATA,National,87993.0,24900.0,19.0,nB35WVYbUI,Naveed Ahmad Khan,Independents,805.0,0.032329317,4.0,Loss
2008-02-18,General Election,Contested,NA-38,Tribal Area 3,Islamabad and FATA,National,87993.0,24900.0,19.0,KZXxVLPcJN,Malak Mohammad Naseer Khan,Independents,124.0,0.00497992,5.0,Loss
2008-02-18,General Election,Contested,NA-38,Tribal Area 3,Islamabad and FATA,National,87993.0,24900.0,19.0,y4e35fA4Sa,Doctor Gul Manan,Independents,40.0,0.001606426,6.0,Loss
