election_date,election_type,contest_status,constituency_number,constituency_name,province,assembly,voter_reg,validated_votes,votes_disq,candidateID,candidate_name,candidate_party,candidate_votes,candidate_share,candidate_rank,outcome
2008-02-18,General Election,Contested,NA-100,Gujranwalla 6,Punjab,National,329185.0,149802.0,8388.0,y65tyzFDky,Haji Mudassar Qayyum Nahra,Independents,57320.0,0.382638416,1.0,Win
2008-02-18,General Election,Contested,NA-100,Gujranwalla 6,Punjab,National,329185.0,149802.0,8388.0,AEsHsStZp4,Chaudhry Bilal Ijaz,Pakistan Muslim League (Qaid-e-Azam),53285.0,0.355702861,2.0,Loss
2008-02-18,General Election,Contested,NA-100,Gujranwalla 6,Punjab,National,329185.0,149802.0,8388.0,nZyYrdqFKW,Tariq Yaqoob Fateh Muhammad,Pakistan Peoples Party Parliamentarians,32511.0,0.217026475,3.0,Loss
2008-02-18,General Election,Contested,NA-100,Gujranwalla 6,Punjab,National,329185.0,149802.0,8388.0,YsNHmKLr0j,Chaudhry Ashfaq Ahmed Mattu,Pakistan Muslim League (Nawaz),6315.0,0.042155645,4.0,Loss
2008-02-18,General Election,Contested,NA-100,Gujranwalla 6,Punjab,National,329185.0,149802.0,8388.0,SHZBnEZbPM,Hafiz Muhammad-E Amal Pakistan,Jamiat Ulema-e Islam (Fazl),205.0,0.001368473,5.0,Loss
2008-02-18,General Election,Contested,NA-100,Gujranwalla 6,Punjab,National,329185.0,149802.0,8388.0,5KhzTN5BFJ,Muhammad Nawaz Malhi,Independents,166.0,0.001108129,6.0,Loss
2008-02-18,General Election,Contested,NA-101,Gujranwalla 7,Punjab,National,377640.0,161010.0,4892.0,xBAH9yYSZX,Justice Iftikhar Ahmad Cheema,Pakistan Muslim League (Nawaz),71792.0,0.445885349,1.0,Win
2008-02-18,General Election,Contested,NA-101,Gujranwalla 7,Punjab,National,377640.0,161010.0,4892.0,1uEMxjXfqx,Hamid Nasir Chatha,Pakistan Muslim League (Qaid-e-Azam),48813.0,0.303167505,2.0,Loss
2008-02-18,General Election,Contested,NA-101,Gujranwalla 7,Punjab,National,377640.0,161010.0,4892.0,gpew7TEGUs,Asma Shahnawaz Cheema,Pakistan Peoples Party Parliamentarians,37554.0,0.233240171,3.0,Loss
2008-02-18,General Election,Contested,NA-101,Gujranwalla 7,Punjab,National,377640.0,161010.0,4892.0,QiJiGI6BKF,Muhammad Ahmad Chatha,Independents,2352.0,0.014607788,4.0,Loss
2008-02-18,General Election,Contested,NA-101,Gujranwalla 7,Punjab,National,377640.0,161010.0,4892.0,Th1ESz7PXn,Jauhara Sarwar Cheema,Independents,499.0,0.003099186,5.0,Loss
2008-02-18,General Election,Contested,NA-102,Hafizabad 1,Punjab,National,204649.0,120688.0,4556.0,HGNlzwgWm6,Saira Afzal Tarar,Pakistan Muslim League (Nawaz),56313.0,0.466599828,1.0,Win
2008-02-18,General Election,Contested,NA-102,Hafizabad 1,Punjab,National,204649.0,120688.0,4556.0,tPbL8tHyYl,Ch. Shoukat Ali Bhatti,Pakistan Muslim League (Qaid-e-Azam),42808.0,0.354699722,2.0,Loss
2008-02-18,General Election,Contested,NA-102,Hafizabad 1,Punjab,National,204649.0,120688.0,4556.0,LRaOYiAb2X,Malik Shoukat Hayyat Awan,Pakistan Peoples Party Parliamentarians,21567.0,0.178700451,3.0,Loss
2008-02-18,General Election,Contested,NA-103,Hafizabad 2,Punjab,National,198007.0,121383.0,4100.0,G167tgHBRp,Ch. Liaqat Abbas Bhatti,Pakistan Muslim League (Qaid-e-Azam),56791.0,0.467866176,1.0,Win
2008-02-18,General Election,Contested,NA-103,Hafizabad 2,Punjab,National,198007.0,121383.0,4100.0,AldSYTHkq0,Mian Shahid Hussain Khan,Pakistan Muslim League (Nawaz),54411.0,0.448258817,2.0,Loss
2008-02-18,General Election,Contested,NA-103,Hafizabad 2,Punjab,National,198007.0,121383.0,4100.0,S5iEOWQWyE,Mushtaq Ahmad Mohal,Pakistan Peoples Party Parliamentarians,10181.0,0.083875007,3.0,Loss
2008-02-18,General Election,Contested,NA-104,Gujrat 1,Punjab,National,311343.0,170348.0,3586.0,B92X9AaC10,Chaudhary Wajahat Hussain,Pakistan Muslim League (Qaid-e-Azam),96379.0,0.565777115,1.0,Win
2008-02-18,General Election,Contested,NA-104,Gujrat 1,Punjab,National,311343.0,170348.0,3586.0,pfhKIgC9y0,Nawabzada Ghazanfar Ali Gul,Pakistan Peoples Party Parliamentarians,63374.0,0.372026675,2.0,Loss
2008-02-18,General Election,Contested,NA-104,Gujrat 1,Punjab,National,311343.0,170348.0,3586.0,Rh4oWNRdb3,Syed Faisal Abbas,Pakistan Muslim League (Nawaz),8927.0,0.05240449,3.0,Loss
2008-02-18,General Election,Contested,NA-104,Gujrat 1,Punjab,National,311343.0,170348.0,3586.0,I2163jdQsK,Shabbir Ahmed,Independents,843.0,0.004948693,4.0,Loss
2008-02-18,General Election,Contested,NA-104,Gujrat 1,Punjab,National,311343.0,170348.0,3586.0,iSPkMkG9A9,Chaudhary Shaukat Mehmood,Independents,825.0,0.004843027,5.0,Loss
2008-02-18,General Election,Contested,NA-105,Gujrat 2,Punjab,National,332332.0,146179.0,3638.0,jGjAIWJCRx,Ch. Ahmed Mukhtar,Pakistan Peoples Party Parliamentarians,79735.0,0.545461386,1.0,Win
2008-02-18,General Election,Contested,NA-105,Gujrat 2,Punjab,National,332332.0,146179.0,3638.0,FhsfEdFVoB,Ch. Shujaat Hussain,Pakistan Muslim League (Qaid-e-Azam),65738.0,0.449708919,2.0,Loss
2008-02-18,General Election,Contested,NA-105,Gujrat 2,Punjab,National,332332.0,146179.0,3638.0,zZuIOty4Me,Ch. Muhammad Gul Nawaz,Independents,444.0,0.003037372,3.0,Loss
2008-02-18,General Election,Contested,NA-105,Gujrat 2,Punjab,National,332332.0,146179.0,3638.0,gGTTerq4ZZ,Alhaj Mirza Saeed Baig,Independents,262.0,0.001792323,4.0,Loss
