election_date,election_type,contest_status,constituency_number,constituency_name,province,assembly,voter_reg,votes_cast,turnout,votes_disq,disq_pct,validated_votes,MOV_votes,MOV_pct,win_votes,win_pct,win_party,win_name,second_votes,second_pct,second_party,second_name,third_votes,third_pct,third_party,third_name,remainder_votes,remainder_pct,effective_parties,Cox_SF_ratio,winbuckets,delimit
2008-02-18,General Election,Contested,NA-1,Peshawar 1,Khyber Paktunkhwa (NWFP),National,387083.0,88954.0,0.229806011,629.0,0.00707107,88325.0,6528.0,0.073908859,44210.0,0.500537787,Awami National Party,Haji Ghulam Ahmed Bilour,37682.0,0.426628927,Pakistan Peoples Party Parliamentarians,Ayub Shah,4103.0,0.046453439,Jamiat Ulema-e Islam (Fazl),Haji Abdul Jalil Jan,2330.0,0.026379847,2.299846343,0.108884879,18,Delimitation 2002-2013
2008-02-18,General Election,Contested,NA-10,Mardan 2,Khyber Paktunkhwa (NWFP),National,256037.0,96859.0,0.378300792,2928.0,0.030229509,93931.0,6141.0,0.065377777,29279.0,0.31170753,Jamiat Ulema-e Islam (Fazl),Maulana Mohammad Qasim,23138.0,0.246329753,Pakistan Peoples Party Parliamentarians,Nawabzada Abdul Qadir Khan,21115.0,0.224792667,Awami National Party,Mohammad Farooq Khan,20399.0,0.21717005,4.544564211,0.91256807,Other Parties,Delimitation 2002-2013
2008-02-18,General Election,Contested,NA-100,Gujranwalla 6,Punjab,National,329185.0,158190.0,0.48055045,8388.0,0.053024844,149802.0,4035.0,0.026935555,57320.0,0.382638416,Independents,Haji Mudassar Qayyum Nahra,53285.0,0.355702861,Pakistan Muslim League (Qaid-e-Azam),Chaudhry Bilal Ijaz,32511.0,0.217026475,Pakistan Peoples Party Parliamentarians,Tariq Yaqoob Fateh Muhammad,6686.0,0.044632248,3.107352446,0.610134184,45,Delimitation 2002-2013
2008-02-18,General Election,Contested,NA-101,Gujranwalla 7,Punjab,National,377640.0,165902.0,0.439312573,4892.0,0.029487288,161010.0,22979.0,0.142717844,71792.0,0.445885349,Pakistan Muslim League (Nawaz),Justice Iftikhar Ahmad Cheema,48813.0,0.303167505,Pakistan Muslim League (Qaid-e-Azam),Hamid Nasir Chatha,37554.0,0.233240171,Pakistan Peoples Party Parliamentarians,Asma Shahnawaz Cheema,2851.0,0.017706975,2.895627816,0.769344232,141,Delimitation 2002-2013
2008-02-18,General Election,Contested,NA-102,Hafizabad 1,Punjab,National,204649.0,125244.0,0.611994195,4556.0,0.036376992,120688.0,13505.0,0.111900106,56313.0,0.466599828,Pakistan Muslim League (Nawaz),Saira Afzal Tarar,42808.0,0.354699722,Pakistan Muslim League (Qaid-e-Azam),Ch. Shoukat Ali Bhatti,21567.0,0.178700451,Pakistan Peoples Party Parliamentarians,Malik Shoukat Hayyat Awan,0.0,0.0,2.663391452,0.503807699,141,Delimitation 2002-2013
2008-02-18,General Election,Contested,NA-103,Hafizabad 2,Punjab,National,198007.0,125483.0,0.633730121,4100.0,0.032673749,121383.0,2380.0,0.019607359,56791.0,0.467866176,Pakistan Muslim League (Qaid-e-Azam),Ch. Liaqat Abbas Bhatti,54411.0,0.448258817,Pakistan Muslim League (Nawaz),Mian Shahid Hussain Khan,10181.0,0.083875007,Pakistan Peoples Party Parliamentarians,Mushtaq Ahmad Mohal,0.0,0.0,2.342635002,0.1871129,142,Delimitation 2002-2013
2008-02-18,General Election,Contested,NA-104,Gujrat 1,Punjab,National,311343.0,173934.0,0.558657172,3586.0,0.020617016,170348.0,33005.0,0.19375044,96379.0,0.565777115,Pakistan Muslim League (Qaid-e-Azam),Chaudhary Wajahat Hussain,63374.0,0.372026675,Pakistan Peoples Party Parliamentarians,Nawabzada Ghazanfar Ali Gul,8927.0,0.05240449,Pakistan Muslim League (Nawaz),Syed Faisal Abbas,1668.0,0.00979172,2.167778392,0.140862183,142,Delimitation 2002-2013
2008-02-18,General Election,Contested,NA-105,Gujrat 2,Punjab,National,332332.0,149817.0,0.450805219,3638.0,0.024282959,146179.0,13997.0,0.095752468,79735.0,0.545461386,Pakistan Peoples Party Parliamentarians,Ch. Ahmed Mukhtar,65738.0,0.449708919,Pakistan Muslim League (Qaid-e-Azam),Ch. Shujaat Hussain,444.0,0.003037372,Independents,Ch. Muhammad Gul Nawaz,262.0,0.001792323,2.000885698,0.006754084,157,Delimitation 2002-2013
2008-02-18,General Election,Contested,NA-106,Gujrat 3,Punjab,National,322310.0,178885.0,0.555009153,6456.0,0.036090226,172429.0,18539.0,0.107516717,89555.0,0.519373191,Pakistan Peoples Party Parliamentarians,Qamar Zaman Kaira,71016.0,0.411856474,Pakistan Muslim League (Qaid-e-Azam),Syed Noor-Ul-Hassan Shah,10506.0,0.060929426,Pakistan Muslim League (Nawaz),Col(R) Mian Muhammad Akram,1352.0,0.007840908,2.256782329,0.147938493,157,Delimitation 2002-2013
2008-02-18,General Election,Contested,NA-107,Gujrat 4,Punjab,National,321304.0,169727.0,0.52824428,6175.0,0.036381955,163552.0,6104.0,0.037321464,75205.0,0.459823176,Pakistan Muslim League (Nawaz),Muhammad Jamil Malik,69101.0,0.422501712,Pakistan Muslim League (Qaid-e-Azam),Rehman Naseer Ch.,14948.0,0.091396009,Pakistan Peoples Party Parliamentarians,Raja Masood Ahmad,4298.0,0.026279104,2.507952879,0.216321037,141,Delimitation 2002-2013
