election_date,election_type,contest_status,constituency_number,constituency_name,province,assembly,voter_reg,validated_votes,votes_disq,candidateID,candidate_name,candidate_party,candidate_votes,candidate_share,candidate_rank,outcome
2008-02-18,General Election,Contested,NA-198,Old Sukkur 1,Sindh,National,265679.0,107595.0,2465.0,Wfq49XYdND,Nauman Islam Shaikh,Pakistan Peoples Party Parliamentarians,74086.0,0.688563595,1.0,Win
2008-02-18,General Election,Contested,NA-198,Old Sukkur 1,Sindh,National,265679.0,107595.0,2465.0,iCnwpd3oyW,Tahir Hussain Shah,Pakistan Muslim League (Qaid-e-Azam),22854.0,0.21240764,2.0,Loss
2008-02-18,General Election,Contested,NA-198,Old Sukkur 1,Sindh,National,265679.0,107595.0,2465.0,YDzpPxiZtE,Hafiz Masroor Lateef,Pakistan Muslim League (Nawaz),4138.0,0.038459036,3.0,Loss
2008-02-18,General Election,Contested,NA-198,Old Sukkur 1,Sindh,National,265679.0,107595.0,2465.0,nC32JpbEPJ,Muhammad Asad Thaniwi.,Jamiat Ulama-e-Islam (Sami),3354.0,0.031172452,4.0,Loss
2008-02-18,General Election,Contested,NA-198,Old Sukkur 1,Sindh,National,265679.0,107595.0,2465.0,7F1klDAEtC,Munawar Ali Choohan.,Muttahida Qaumi Movement,1862.0,0.017305637,5.0,Loss
2008-02-18,General Election,Contested,NA-198,Old Sukkur 1,Sindh,National,265679.0,107595.0,2465.0,vCk9GiNGtf,Syed Muhammad Ayoub.,Jamiat Ulema-e Islam (Fazl),899.0,0.008355407,6.0,Loss
2008-02-18,General Election,Contested,NA-198,Old Sukkur 1,Sindh,National,265679.0,107595.0,2465.0,PXTmSTDje5,Noor Muhammad Soomro,Independents,80.0,0.000743529,7.0,Loss
2008-02-18,General Election,Contested,NA-198,Old Sukkur 1,Sindh,National,265679.0,107595.0,2465.0,aPdqUVLkrU,Sardar Mir Yakoob Ali Shah.,Sindh United Party,66.0,0.000613411,8.0,Loss
2008-02-18,General Election,Contested,NA-198,Old Sukkur 1,Sindh,National,265679.0,107595.0,2465.0,c7xTMehVdh,Arshad.,Independents,56.0,0.00052047,9.0,Loss
2008-02-18,General Election,Contested,NA-198,Old Sukkur 1,Sindh,National,265679.0,107595.0,2465.0,ZXvJpOsrlp,Salman Islam Shaikh,Independents,51.0,0.000474,10.0,Loss
2008-02-18,General Election,Contested,NA-198,Old Sukkur 1,Sindh,National,265679.0,107595.0,2465.0,msQr6zTO0x,Taj Muhammad Shaikh.,Independents,47.0,0.000436823,11.0,Loss
2008-02-18,General Election,Contested,NA-198,Old Sukkur 1,Sindh,National,265679.0,107595.0,2465.0,A1wRUocP3B,Farrukh Adil Shaikh.,Independents,24.0,0.000223059,12.0,Loss
2008-02-18,General Election,Contested,NA-198,Old Sukkur 1,Sindh,National,265679.0,107595.0,2465.0,9Tv6yNOQWZ,Muhammad Ali.,Independents,23.0,0.000213765,13.0,Loss
2008-02-18,General Election,Contested,NA-198,Old Sukkur 1,Sindh,National,265679.0,107595.0,2465.0,WMTgP9y6vb,Syed Muhammad Fahad Rafique Faizi.,Independents,23.0,0.000213765,13.0,Loss
2008-02-18,General Election,Contested,NA-198,Old Sukkur 1,Sindh,National,265679.0,107595.0,2465.0,aZ9YjBJPxG,Arif Hussain.,Independents,21.0,0.000195176,14.0,Loss
2008-02-18,General Election,Contested,NA-198,Old Sukkur 1,Sindh,National,265679.0,107595.0,2465.0,qpPkueK6BE,Makhdoom Faiq Hussain.,Independents,11.0,0.000102235,15.0,Loss
2008-02-18,General Election,Contested,NA-199,Old Sukkur 2,Sindh,National,269546.0,128454.0,2545.0,K0Gtnr0BtA,Syed Khursheed Ahmed Shah,Pakistan Peoples Party Parliamentarians,93394.0,0.727061828,1.0,Win
2008-02-18,General Election,Contested,NA-199,Old Sukkur 2,Sindh,National,269546.0,128454.0,2545.0,IvwClgDEqT,Taj  Mohammad Shaikh,Pakistan Muslim League (Qaid-e-Azam),34204.0,0.266274308,2.0,Loss
2008-02-18,General Election,Contested,NA-199,Old Sukkur 2,Sindh,National,269546.0,128454.0,2545.0,vqXIf8mkD0,Haji Javed Iqbal Jat,Pakistan Muslim League (Nawaz),250.0,0.001946222,3.0,Loss
2008-02-18,General Election,Contested,NA-199,Old Sukkur 2,Sindh,National,269546.0,128454.0,2545.0,Ag4kFoPSxq,Manzoor Ahmed Soomro,Jamiat Ulema-e Islam (Fazl),200.0,0.001556978,4.0,Loss
2008-02-18,General Election,Contested,NA-199,Old Sukkur 2,Sindh,National,269546.0,128454.0,2545.0,ho42b7tnDa,Abdul Mujeeb Pirzada,National Party,168.0,0.001307861,5.0,Loss
2008-02-18,General Election,Contested,NA-199,Old Sukkur 2,Sindh,National,269546.0,128454.0,2545.0,IFS9XeDv9j,Dr. Noor Mohammad Waseem Soomro,Independents,62.0,0.000482663,6.0,Loss
2008-02-18,General Election,Contested,NA-199,Old Sukkur 2,Sindh,National,269546.0,128454.0,2545.0,FhKUR4B9PI,Waheed Ahmed Mughal,Muttahida Qaumi Movement,45.0,0.00035032,7.0,Loss
2008-02-18,General Election,Contested,NA-199,Old Sukkur 2,Sindh,National,269546.0,128454.0,2545.0,0bbR1ySZQ7,Moulana Nalay Mitho Shaikh,Sunni Tehreek,38.0,0.000295826,8.0,Loss
2008-02-18,General Election,Contested,NA-199,Old Sukkur 2,Sindh,National,269546.0,128454.0,2545.0,PQE0DmjbZD,Syed Awais Qadir Shah,Independents,27.0,0.000210192,9.0,Loss
2008-02-18,General Election,Contested,NA-199,Old Sukkur 2,Sindh,National,269546.0,128454.0,2545.0,PAdvLPBDIk,Jam Saifullah Khan Dharejo,Independents,22.0,0.000171268,10.0,Loss
2008-02-18,General Election,Contested,NA-199,Old Sukkur 2,Sindh,National,269546.0,128454.0,2545.0,9tUGlxSmzJ,Mohammad Ali Shaikh,Independents,20.0,0.000155698,11.0,Loss
2008-02-18,General Election,Contested,NA-199,Old Sukkur 2,Sindh,National,269546.0,128454.0,2545.0,xKUHKVXSeX,Hidayatullah Khan,Independents,14.0,0.000108988,12.0,Loss
