election_date,election_type,contest_status,constituency_number,constituency_name,province,assembly,voter_reg,validated_votes,votes_disq,candidateID,candidate_name,candidate_party,candidate_votes,candidate_share,candidate_rank,outcome
2013-05-11,General Election,Contested,NA-259,Quetta,Balochistan,National,264293.0,107926.0,2130.0,dbQrHibzJQ,Mehmood Khan Achakzai,Paktunkhwa Milli Awami Party,38552.0,0.357207716,1.0,Win
2013-05-11,General Election,Contested,NA-259,Quetta,Balochistan,National,264293.0,107926.0,2130.0,Ah8vI6m5sK,Muhammad Qasim Khan Suri,Pakistan Tehreek-e-Insaf,16007.0,0.148314586,2.0,Loss
2013-05-11,General Election,Contested,NA-259,Quetta,Balochistan,National,264293.0,107926.0,2130.0,4JjWfvELA6,Mollana Abdul Kabeer Shahkir,Jamiat Ulama-e-Islam (Sami),13512.0,0.125196894,3.0,Loss
2013-05-11,General Election,Contested,NA-259,Quetta,Balochistan,National,264293.0,107926.0,2130.0,gQIGVthtXb,Ruquiya Saeed Hashmi,Pakistan Muslim League (Qaid-e-Azam),9965.0,0.092331783,4.0,Loss
2013-05-11,General Election,Contested,NA-259,Quetta,Balochistan,National,264293.0,107926.0,2130.0,St7OE2vbOA,Hafiz Hamdullah,Jamiat Ulema-e Islam (Fazl),7622.0,0.070622464,5.0,Loss
2013-05-11,General Election,Contested,NA-259,Quetta,Balochistan,National,264293.0,107926.0,2130.0,26svZiPWDq,Abdul Khaliq Hazara,Hazara Democratic Party,5781.0,0.053564479,6.0,Loss
2013-05-11,General Election,Contested,NA-259,Quetta,Balochistan,National,264293.0,107926.0,2130.0,FBvRF2KN2D,Mir Maqbool Ahmed Lehri,Pakistan Peoples Party Parliamentarians,4737.0,0.043891185,7.0,Loss
2013-05-11,General Election,Contested,NA-259,Quetta,Balochistan,National,264293.0,107926.0,2130.0,Bzecm8QQ3Q,Mollan Mehmood Ul Hassan Qasmi,Jamiat Ulama-e-Islam Nazryati Pakistan,3298.0,0.030557975,8.0,Loss
2013-05-11,General Election,Contested,NA-259,Quetta,Balochistan,National,264293.0,107926.0,2130.0,FMWugC1lXV,Ghulam Hussain,Majlis-e-Wahdat-e-Muslimeen Pakistan,1322.0,0.012249134,9.0,Loss
2013-05-11,General Election,Contested,NA-259,Quetta,Balochistan,National,264293.0,107926.0,2130.0,kR369CHOHo,Syed Abdul Qayyum,Awami National Party,889.0,0.008237125,10.0,Loss
2013-05-11,General Election,Contested,NA-259,Quetta,Balochistan,National,264293.0,107926.0,2130.0,yZGVeQnq0k,Ali Ahmed Kurd,Independents,767.0,0.007106721,11.0,Loss
2013-05-11,General Election,Contested,NA-259,Quetta,Balochistan,National,264293.0,107926.0,2130.0,6gkjG08YBT,Haji Musa Jan Khilji,National Party,737.0,0.006828753,12.0,Loss
2013-05-11,General Election,Contested,NA-259,Quetta,Balochistan,National,264293.0,107926.0,2130.0,I4X18i8DcO,Mir Pasand Khan Langove,Independents,722.0,0.006689769,13.0,Loss
2013-05-11,General Election,Contested,NA-259,Quetta,Balochistan,National,264293.0,107926.0,2130.0,rZUK0K08A6,Sardar Atif Ali Sanjrani,Independents,655.0,0.006068973,14.0,Loss
2013-05-11,General Election,Contested,NA-259,Quetta,Balochistan,National,264293.0,107926.0,2130.0,zzj4Xhjboj,Muhammad Qayyum Baluch,Balochistan National Party (Awami),528.0,0.004892241,15.0,Loss
2013-05-11,General Election,Contested,NA-259,Quetta,Balochistan,National,264293.0,107926.0,2130.0,8y9gpXvwpu,Akhtar Muhammad,Jamaat-e-Islami,483.0,0.004475289,16.0,Loss
2013-05-11,General Election,Contested,NA-259,Quetta,Balochistan,National,264293.0,107926.0,2130.0,cpnFAzhtj6,Muhammad Jumma Changazi,Muttahida Qaumi Movement,281.0,0.002603636,17.0,Loss
