election_date,election_type,contest_status,constituency_number,constituency_name,province,assembly,voter_reg,validated_votes,votes_disq,candidateID,candidate_name,candidate_party,candidate_votes,candidate_share,candidate_rank,outcome
2013-05-11,General Election,Contested,NA-1,Peshawar 1,Khyber Paktunkhwa (NWFP),National,320578.0,146044.0,2103.0,AqdypCq3b6,Imran Khan,Pakistan Tehreek-e-Insaf,90500.0,0.619676262,1.0,Win
2013-05-11,General Election,Contested,NA-1,Peshawar 1,Khyber Paktunkhwa (NWFP),National,320578.0,146044.0,2103.0,xJ6Dhw7L9t,Alhaaj Ghula Ahmad Bilour,Awami National Party,24468.0,0.16753855,2.0,Loss
2013-05-11,General Election,Contested,NA-1,Peshawar 1,Khyber Paktunkhwa (NWFP),National,320578.0,146044.0,2103.0,aMNFDRz5n5,Muhammad Zulfiqar Afghani,Pakistan Peoples Party Parliamentarians,7121.0,0.048759278,3.0,Loss
2013-05-11,General Election,Contested,NA-1,Peshawar 1,Khyber Paktunkhwa (NWFP),National,320578.0,146044.0,2103.0,STXvI6pr7P,Shabir Ahmad Khan,Jamaat-e-Islami,7051.0,0.04827997,4.0,Loss
2013-05-11,General Election,Contested,NA-1,Peshawar 1,Khyber Paktunkhwa (NWFP),National,320578.0,146044.0,2103.0,5ubWwFwCKb,Hazrat Muhammad Alias Babo Maavia,Jamiat Ulama-e-Islam (Sami),4827.0,0.033051683,5.0,Loss
2013-05-11,General Election,Contested,NA-1,Peshawar 1,Khyber Paktunkhwa (NWFP),National,320578.0,146044.0,2103.0,7Oedixlkxl,Haji Shah Nawaz,Jamiat Ulema-e Islam (Fazl),4738.0,0.032442278,6.0,Loss
2013-05-11,General Election,Contested,NA-1,Peshawar 1,Khyber Paktunkhwa (NWFP),National,320578.0,146044.0,2103.0,HBySvYSd1n,Muhammad Afzal Khan Panyala,Pakistan Muslim League (Nawaz),4232.0,0.028977568,7.0,Loss
2013-05-11,General Election,Contested,NA-1,Peshawar 1,Khyber Paktunkhwa (NWFP),National,320578.0,146044.0,2103.0,9rMeWmjAzn,Jan Alam Khan Paracha,Qaumi Watan Party,1694.0,0.011599244,8.0,Loss
2013-05-11,General Election,Contested,NA-1,Peshawar 1,Khyber Paktunkhwa (NWFP),National,320578.0,146044.0,2103.0,B948Qy6a0D,Amir Syed,Pakistan Peoples Party (Shaheed Bhutto),454.0,0.003108652,9.0,Loss
2013-05-11,General Election,Contested,NA-1,Peshawar 1,Khyber Paktunkhwa (NWFP),National,320578.0,146044.0,2103.0,w5CcyaaQi4,Pir Abdur Rehman,Independents,265.0,0.001814522,10.0,Loss
2013-05-11,General Election,Contested,NA-1,Peshawar 1,Khyber Paktunkhwa (NWFP),National,320578.0,146044.0,2103.0,tvYhJvvn4l,Akram Khan,Independents,182.0,0.0012462,11.0,Loss
2013-05-11,General Election,Contested,NA-1,Peshawar 1,Khyber Paktunkhwa (NWFP),National,320578.0,146044.0,2103.0,ndRBmYPWSG,Bashir Ahmad Afridi,Muttahida Qaumi Movement,117.0,0.000801128,12.0,Loss
2013-05-11,General Election,Contested,NA-1,Peshawar 1,Khyber Paktunkhwa (NWFP),National,320578.0,146044.0,2103.0,p3l8zW6BVJ,Syed Muhammad Sibtain Taj Agha,Jamiat Ulema-e-Pakistan (Noorani),100.0,0.000684725,13.0,Loss
2013-05-11,General Election,Contested,NA-1,Peshawar 1,Khyber Paktunkhwa (NWFP),National,320578.0,146044.0,2103.0,8EaDhX0b9m,Aamir Shehzad Hashmi,Mustaqbil Pakistan,77.0,0.000527238,14.0,Loss
2013-05-11,General Election,Contested,NA-1,Peshawar 1,Khyber Paktunkhwa (NWFP),National,320578.0,146044.0,2103.0,cI3waeTbEH,Khalid Tanveer Rohela Advocate,Pakistan Muslim League (Haqiqi),70.0,0.000479308,15.0,Loss
