constituency_number,NAME OF CONSTITUENCY,province,voter_reg,candidate_party,candidate_name
NA-1,Chitral Upper-cum-Chitral Lower,Khyber Pakhtunkhwa,515935,Pakistan Peoples Party,Fazli Rabbi
NA-1,Chitral Upper-cum-Chitral Lower,Khyber Pakhtunkhwa,515935,Jamiat Ulema-e Islam (Fazl),Muhammad Talha Mahmood
NA-1,Chitral Upper-cum-Chitral Lower,Khyber Pakhtunkhwa,515935,Awami National Party,Khadija Bibi
NA-1,Chitral Upper-cum-Chitral Lower,Khyber Pakhtunkhwa,515935,Pakistan Muslim League (Nawaz),Iftikhar uddin
NA-1,Chitral Upper-cum-Chitral Lower,Khyber Pakhtunkhwa,515935,Pakistan Tehreek-e-Insaf,Abdul Latif
NA-2,SWAT-1,Khyber Pakhtunkhwa,883636,Pakistan Tehreek-e-Insaf,Dr. Amjad
NA-2,SWAT-1,Khyber Pakhtunkhwa,883636,Pakistan Peoples Party,Haider Ali Khan
NA-2,SWAT-1,Khyber Pakhtunkhwa,883636,Pakistan Muslim League (Nawaz),Amir Muqam
NA-2,SWAT-1,Khyber Pakhtunkhwa,883636,Awami National Party,Muhammad Ayub Khan
NA-2,SWAT-1,Khyber Pakhtunkhwa,883636,Jamaat-e-Islami,Naveed Igbal
NA-2,SWAT-1,Khyber Pakhtunkhwa,883636,Jamiat Ulema-e Islam (Fazl),Abdul Ghafoor
NA-3,SWAT-2,Khyber Pakhtunkhwa,867243,Pakistan Tehreek-e-Insaf,Saleem ur Rehman
NA-3,SWAT-2,Khyber Pakhtunkhwa,867243,Pakistan Peoples Party,Shaharyar Amirzeb
NA-3,SWAT-2,Khyber Pakhtunkhwa,867243,Pakistan Muslim League (Nawaz),Muhammad Nisar Khan
NA-3,SWAT-2,Khyber Pakhtunkhwa,867243,Awami National Party,Sher Baz Khan
NA-3,SWAT-2,Khyber Pakhtunkhwa,867243,Jamaat-e-Islami,Sahib Zada Tariq Ullah
NA-3,SWAT-2,Khyber Pakhtunkhwa,867243,Jamiat Ulema-e Islam (Fazl),Kaisar Khan
