election_date,election_type,contest_status,constituency_number,constituency_name,province,assembly,voter_reg,validated_votes,votes_disq,candidateID,candidate_name,candidate_party,candidate_votes,candidate_share,candidate_rank,outcome
2/18/2008,General Election,Contested,NA-1,Peshawar 1,Khyber Paktunkhwa (NWFP),National,387083,88325,629,NLFVkUN1Ih,Haji Ghulam Ahmed Bilour,Awami National Party,44210,0.500537787,1,Win
2/18/2008,General Election,Contested,NA-1,Peshawar 1,Khyber Paktunkhwa (NWFP),National,387083,88325,629,YDdR7JJToy,Ayub Shah,Pakistan Peoples Party Parliamentarians,37682,0.426628927,2,Loss
2/18/2008,General Election,Contested,NA-1,Peshawar 1,Khyber Paktunkhwa (NWFP),National,387083,88325,629,YjcqElajmi,Haji Abdul Jalil Jan,Jamiat Ulema-e Islam (Fazl),4103,0.046453439,3,Loss
2/18/2008,General Election,Contested,NA-1,Peshawar 1,Khyber Paktunkhwa (NWFP),National,387083,88325,629,yz2MD4YdZ4,Saifullah,Independents,661,0.007483725,4,Loss
2/18/2008,General Election,Contested,NA-1,Peshawar 1,Khyber Paktunkhwa (NWFP),National,387083,88325,629,ywaect63jO,Abdullah Jan,Independents,313,0.003543731,5,Loss
2/18/2008,General Election,Contested,NA-1,Peshawar 1,Khyber Paktunkhwa (NWFP),National,387083,88325,629,hBBq75E9aS,Aurangzeb,Independents,261,0.002954996,6,Loss
2/18/2008,General Election,Contested,NA-1,Peshawar 1,Khyber Paktunkhwa (NWFP),National,387083,88325,629,jjXJcFo3ZH,Jawad Aziz,Awami Himayat Tehreek Pakistan,247,0.00279649,7,Loss
2/18/2008,General Election,Contested,NA-1,Peshawar 1,Khyber Paktunkhwa (NWFP),National,387083,88325,629,msMHrIvSAj,Kakagi Muhammad Zahoor,Pakistan Peoples Party (Shaheed Bhutto),232,0.002626663,8,Loss
2/18/2008,General Election,Contested,NA-1,Peshawar 1,Khyber Paktunkhwa (NWFP),National,387083,88325,629,Vp4tib3s1u,Fakhri Alam Khan Paracha,Independents,184,0.002083215,9,Loss
2/18/2008,General Election,Contested,NA-1,Peshawar 1,Khyber Paktunkhwa (NWFP),National,387083,88325,629,jeqmvt3bAR,Ashoni Kumar,Independents,156,0.001766204,10,Loss
2/18/2008,General Election,Contested,NA-1,Peshawar 1,Khyber Paktunkhwa (NWFP),National,387083,88325,629,NURPYx51wJ,Muhammad Zunbair Anjum,Muttahida Qaumi Movement,151,0.001709595,11,Loss
2/18/2008,General Election,Contested,NA-1,Peshawar 1,Khyber Paktunkhwa (NWFP),National,387083,88325,629,WhQBW1GxI3,Mian Sultan Mohammad,Independents,71,0.000803849,12,Loss
2/18/2008,General Election,Contested,NA-1,Peshawar 1,Khyber Paktunkhwa (NWFP),National,387083,88325,629,AVXyiehkrN,Khawaja Yawar Naseer,Independents,54,0.000611378,13,Loss
2/18/2008,General Election,Contested,NA-10,Mardan 2,Khyber Paktunkhwa (NWFP),National,256037,93931,2928,4pIsRMOwxO,Maulana Mohammad Qasim,Jamiat Ulema-e Islam (Fazl),29279,0.31170753,1,Win
2/18/2008,General Election,Contested,NA-10,Mardan 2,Khyber Paktunkhwa (NWFP),National,256037,93931,2928,P3XKhDN1RN,Nawabzada Abdul Qadir Khan,Pakistan Peoples Party Parliamentarians,23138,0.246329753,2,Loss
2/18/2008,General Election,Contested,NA-10,Mardan 2,Khyber Paktunkhwa (NWFP),National,256037,93931,2928,S6fVZkglIm,Mohammad Farooq Khan,Awami National Party,21115,0.224792667,3,Loss
2/18/2008,General Election,Contested,NA-10,Mardan 2,Khyber Paktunkhwa (NWFP),National,256037,93931,2928,yvi3ZF6Fi4,Naseem Mhammad Khan,Pakistan Muslim League (Qaid-e-Azam),6774,0.072116767,4,Loss
2/18/2008,General Election,Contested,NA-10,Mardan 2,Khyber Paktunkhwa (NWFP),National,256037,93931,2928,5JBgCwQEa5,Jalal Khan Khattak,Qaumi Watan Party,6012,0.064004429,5,Loss
2/18/2008,General Election,Contested,NA-10,Mardan 2,Khyber Paktunkhwa (NWFP),National,256037,93931,2928,35ZIpM1R4B,Muhammad Shoaib Khan,Pakistan Muslim League (Nawaz),3782,0.040263598,6,Loss
2/18/2008,General Election,Contested,NA-10,Mardan 2,Khyber Paktunkhwa (NWFP),National,256037,93931,2928,ZfBSPJb9wx,Atta Ullah,Independents,1898,0.020206322,7,Loss
2/18/2008,General Election,Contested,NA-10,Mardan 2,Khyber Paktunkhwa (NWFP),National,256037,93931,2928,tUDPcaGgRh,Tahir Iqbal,Awami Himayat Tehreek Pakistan,1732,0.018439067,8,Loss
2/18/2008,General Election,Contested,NA-10,Mardan 2,Khyber Paktunkhwa (NWFP),National,256037,93931,2928,2Wrh4ruk8p,Zair Ullah Khan,Muttahida Qaumi Movement,201,0.002139869,9,Loss
2/18/2008,General Election,Contested,NA-100,Gujranwalla 6,Punjab,National,329185,149802,8388,y65tyzFDky,Haji Mudassar Qayyum Nahra,Independents,57320,0.382638416,1,Win
2/18/2008,General Election,Contested,NA-100,Gujranwalla 6,Punjab,National,329185,149802,8388,AEsHsStZp4,Chaudhry Bilal Ijaz,Pakistan Muslim League (Qaid-e-Azam),53285,0.355702861,2,Loss
2/18/2008,General Election,Contested,NA-100,Gujranwalla 6,Punjab,National,329185,149802,8388,nZyYrdqFKW,Tariq Yaqoob Fateh Muhammad,Pakistan Peoples Party Parliamentarians,32511,0.217026475,3,Loss
2/18/2008,General Election,Contested,NA-100,Gujranwalla 6,Punjab,National,329185,149802,8388,YsNHmKLr0j,Chaudhry Ashfaq Ahmed Mattu,Pakistan Muslim League (Nawaz),6315,0.042155645,4,Loss
2/18/2008,General Election,Contested,NA-100,Gujranwalla 6,Punjab,National,329185,149802,8388,SHZBnEZbPM,Hafiz Muhammad-E Amal Pakistan,Jamiat Ulema-e Islam (Fazl),205,0.001368473,5,Loss
2/18/2008,General Election,Contested,NA-100,Gujranwalla 6,Punjab,National,329185,149802,8388,5KhzTN5BFJ,Muhammad Nawaz Malhi,Independents,166,0.001108129,6,Loss
2/18/2008,General Election,Contested,NA-101,Gujranwalla 7,Punjab,National,377640,161010,4892,xBAH9yYSZX,Justice Iftikhar Ahmad Cheema,Pakistan Muslim League (Nawaz),71792,0.445885349,1,Win
2/18/2008,General Election,Contested,NA-101,Gujranwalla 7,Punjab,National,377640,161010,4892,1uEMxjXfqx,Hamid Nasir Chatha,Pakistan Muslim League (Qaid-e-Azam),48813,0.303167505,2,Loss
2/18/2008,General Election,Contested,NA-101,Gujranwalla 7,Punjab,National,377640,161010,4892,gpew7TEGUs,Asma Shahnawaz Cheema,Pakistan Peoples Party Parliamentarians,37554,0.233240171,3,Loss
2/18/2008,General Election,Contested,NA-101,Gujranwalla 7,Punjab,National,377640,161010,4892,QiJiGI6BKF,Muhammad Ahmad Chatha,Independents,2352,0.014607788,4,Loss
2/18/2008,General Election,Contested,NA-101,Gujranwalla 7,Punjab,National,377640,161010,4892,Th1ESz7PXn,Jauhara Sarwar Cheema,Independents,499,0.003099186,5,Loss
2/18/2008,General Election,Contested,NA-102,Hafizabad 1,Punjab,National,204649,120688,4556,HGNlzwgWm6,Saira Afzal Tarar,Pakistan Muslim League (Nawaz),56313,0.466599828,1,Win
2/18/2008,General Election,Contested,NA-102,Hafizabad 1,Punjab,National,204649,120688,4556,tPbL8tHyYl,Ch. Shoukat Ali Bhatti,Pakistan Muslim League (Qaid-e-Azam),42808,0.354699722,2,Loss
2/18/2008,General Election,Contested,NA-102,Hafizabad 1,Punjab,National,204649,120688,4556,LRaOYiAb2X,Malik Shoukat Hayyat Awan,Pakistan Peoples Party Parliamentarians,21567,0.178700451,3,Loss
2/18/2008,General Election,Contested,NA-103,Hafizabad 2,Punjab,National,198007,121383,4100,G167tgHBRp,Ch. Liaqat Abbas Bhatti,Pakistan Muslim League (Qaid-e-Azam),56791,0.467866176,1,Win
2/18/2008,General Election,Contested,NA-103,Hafizabad 2,Punjab,National,198007,121383,4100,AldSYTHkq0,Mian Shahid Hussain Khan,Pakistan Muslim League (Nawaz),54411,0.448258817,2,Loss
2/18/2008,General Election,Contested,NA-103,Hafizabad 2,Punjab,National,198007,121383,4100,S5iEOWQWyE,Mushtaq Ahmad Mohal,Pakistan Peoples Party Parliamentarians,10181,0.083875007,3,Loss
2/18/2008,General Election,Contested,NA-104,Gujrat 1,Punjab,National,311343,170348,3586,B92X9AaC10,Chaudhary Wajahat Hussain,Pakistan Muslim League (Qaid-e-Azam),96379,0.565777115,1,Win
2/18/2008,General Election,Contested,NA-104,Gujrat 1,Punjab,National,311343,170348,3586,pfhKIgC9y0,Nawabzada Ghazanfar Ali Gul,Pakistan Peoples Party Parliamentarians,63374,0.372026675,2,Loss
2/18/2008,General Election,Contested,NA-104,Gujrat 1,Punjab,National,311343,170348,3586,Rh4oWNRdb3,Syed Faisal Abbas,Pakistan Muslim League (Nawaz),8927,0.05240449,3,Loss
2/18/2008,General Election,Contested,NA-104,Gujrat 1,Punjab,National,311343,170348,3586,I2163jdQsK,Shabbir Ahmed,Independents,843,0.004948693,4,Loss
2/18/2008,General Election,Contested,NA-104,Gujrat 1,Punjab,National,311343,170348,3586,iSPkMkG9A9,Chaudhary Shaukat Mehmood,Independents,825,0.004843027,5,Loss
2/18/2008,General Election,Contested,NA-105,Gujrat 2,Punjab,National,332332,146179,3638,jGjAIWJCRx,Ch. Ahmed Mukhtar,Pakistan Peoples Party Parliamentarians,79735,0.545461386,1,Win
2/18/2008,General Election,Contested,NA-105,Gujrat 2,Punjab,National,332332,146179,3638,FhsfEdFVoB,Ch. Shujaat Hussain,Pakistan Muslim League (Qaid-e-Azam),65738,0.449708919,2,Loss
2/18/2008,General Election,Contested,NA-105,Gujrat 2,Punjab,National,332332,146179,3638,zZuIOty4Me,Ch. Muhammad Gul Nawaz,Independents,444,0.003037372,3,Loss
2/18/2008,General Election,Contested,NA-105,Gujrat 2,Punjab,National,332332,146179,3638,gGTTerq4ZZ,Alhaj Mirza Saeed Baig,Independents,262,0.001792323,4,Loss
2/18/2008,General Election,Contested,NA-106,Gujrat 3,Punjab,National,322310,172429,6456,JyHIkBZKXJ,Qamar Zaman Kaira,Pakistan Peoples Party Parliamentarians,89555,0.519373191,1,Win
2/18/2008,General Election,Contested,NA-106,Gujrat 3,Punjab,National,322310,172429,6456,CSzmykPksv,Syed Noor-Ul-Hassan Shah,Pakistan Muslim League (Qaid-e-Azam),71016,0.411856474,2,Loss
2/18/2008,General Election,Contested,NA-106,Gujrat 3,Punjab,National,322310,172429,6456,1TMNad64WM,Col(R) Mian Muhammad Akram,Pakistan Muslim League (Nawaz),10506,0.060929426,3,Loss
2/18/2008,General Election,Contested,NA-106,Gujrat 3,Punjab,National,322310,172429,6456,uRDTGaeBOm,Syed Faiz-Ul-Hassan Shah,Independents,626,0.00363048,4,Loss
2/18/2008,General Election,Contested,NA-106,Gujrat 3,Punjab,National,322310,172429,6456,GxPDhbV1rz,Ch. Jamshaid Nasar,Independents,389,0.002256001,5,Loss
2/18/2008,General Election,Contested,NA-106,Gujrat 3,Punjab,National,322310,172429,6456,6dIfDnmlW8,Muhammad Asif Chaudhary,Independents,337,0.001954428,6,Loss
