constituency_number,consitituencey_name,province,candidate_name,candidate_party,candidate_votes,candidate_share,outcome,Total NA Votes
NA-1,Chitral,Khyber Paktunkhwa (NWFP),Molana Abdul Akbar Chitrali,Muttahidda Majlis-e-Amal Pakistan,48616,0.369195252,win,131681
NA-1,Chitral,Khyber Paktunkhwa (NWFP),Abdul Latif,Pakistan Tehreek-e-Insaf,40002,0.303779589,loss,131681
NA-1,Chitral,Khyber Paktunkhwa (NWFP),Saleem Khan,Pakistan Peoples Party (Shaheed Bhutto),32635,0.24783378,loss,131681
NA-1,Chitral,Khyber Paktunkhwa (NWFP),Iftikhar Ud Din,Pakistan Muslim League (Nawaz),2101,0.015955225,loss,131681
NA-1,Chitral,Khyber Paktunkhwa (NWFP),Eid Ul Hussain,Awami National Party,3613,0.027437519,loss,131681
NA-1,Chitral,Khyber Paktunkhwa (NWFP),Saeed Ur Rehman,Pakistan Rah-e-Haq Party,3223,0.024475817,loss,131681
NA-1,Chitral,Khyber Paktunkhwa (NWFP),Taqdira Ajmal,Independents,793,0.006022129,loss,131681
NA-1,Chitral,Khyber Paktunkhwa (NWFP),Muhammad Yahya,Independents,698,0.005300689,loss,131681
NA-1,Chitral,Khyber Paktunkhwa (NWFP),Muhammad Amjad,All Pakistan Muslim League,0,0,loss,131681
NA-1,Chitral,Khyber Paktunkhwa (NWFP),Shahzada Muhammad Taimur Khisrao,Independents,0,0,loss,131681
NA-2,Swat-1,Khyber Paktunkhwa (NWFP),Haider Ali Khan,Pakistan Tehreek-e-Insaf,61687,0.50661531,win,121763
NA-2,Swat-1,Khyber Paktunkhwa (NWFP),Amir Muqam,Pakistan Muslim League (Nawaz),41125,0.337746278,loss,121763
NA-2,Swat-1,Khyber Paktunkhwa (NWFP),Mumtaz Ahmad,Awami National Party,14618,0.12005289,loss,121763
NA-2,Swat-1,Khyber Paktunkhwa (NWFP),Muhammad Mukhtar,Paktunkhwa Milli Awami Party,3381,0.027767056,loss,121763
NA-2,Swat-1,Khyber Paktunkhwa (NWFP),Miraj Muhammad,Independents,453,0.003720342,loss,121763
NA-2,Swat-1,Khyber Paktunkhwa (NWFP),Naveed Iqbal,Muttahidda Majlis-e-Amal Pakistan,420,0.003449324,loss,121763
NA-2,Swat-1,Khyber Paktunkhwa (NWFP),Amjad Ali Khan,Pakistan Peoples Party (Shaheed Bhutto),79,0.000648801,loss,121763
NA-2,Swat-1,Khyber Paktunkhwa (NWFP),Ibadullah Khan,Independents,0,0,loss,121763
NA-3,Swat-2,Khyber Paktunkhwa (NWFP),Saleem Rehman,Pakistan Tehreek-e-Insaf,68162,0.44959962,win,151606
NA-3,Swat-2,Khyber Paktunkhwa (NWFP),Mian Muhammad Shehbaz Sharif,Pakistan Muslim League (Nawaz),22756,0.1500996,loss,151606
NA-3,Swat-2,Khyber Paktunkhwa (NWFP),Shahryar Amirzeb,Pakistan Peoples Party (Shaheed Bhutto),22046,0.145416408,loss,151606
NA-3,Swat-2,Khyber Paktunkhwa (NWFP),Abdul Karim Khan,Awami National Party,21895,0.144420406,loss,151606
NA-3,Swat-2,Khyber Paktunkhwa (NWFP),Molana Hujjat Ullah,Independents,16747,0.110463966,loss,151606
NA-3,Swat-2,Khyber Paktunkhwa (NWFP),Ali Khan,Independents,0,0,loss,151606
NA-3,Swat-2,Khyber Paktunkhwa (NWFP),Shakeel Ahmad,Jamiat Ulema-e-Pakistan (Noorani),0,0,loss,151606
NA-3,Swat-2,Khyber Paktunkhwa (NWFP),Aftab Shahid,Independents ,0,0,loss,151606
NA-4,Swat-3,Khyber Paktunkhwa (NWFP),Murad Saeed ,Pakistan Tehreek-e-Insaf,71600,0.466820535,win,153378
NA-4,Swat-3,Khyber Paktunkhwa (NWFP),Saleem Khan,Awami National Party,30976,0.20195856,loss,153378
NA-4,Swat-3,Khyber Paktunkhwa (NWFP),Qari Mahmood,Muttahidda Majlis-e-Amal Pakistan,17542,0.114371031,loss,153378
NA-4,Swat-3,Khyber Paktunkhwa (NWFP),Feroz Shah,Pakistan Muslim League (Nawaz),14494,0.094498559,loss,153378
NA-4,Swat-3,Khyber Paktunkhwa (NWFP),Qamar Zaman Khan,Pakistan Peoples Party (Shaheed Bhutto),12328,0.080376586,loss,153378
NA-4,Swat-3,Khyber Paktunkhwa (NWFP),Tal Hayat Khan,Qaumi Watan Party,2240,0.014604441,loss,153378
NA-4,Swat-3,Khyber Paktunkhwa (NWFP),Muhammad Raza Khan,Tehreek-e-Labbaik,1579,0.010294827,loss,153378
NA-4,Swat-3,Khyber Paktunkhwa (NWFP),Khurshaid Ali,Paktunkhwa Milli Awami Party,1464,0.009545046,loss,153378
NA-4,Swat-3,Khyber Paktunkhwa (NWFP),Ibrahim,Allah-o-Akbar Tehreek,904,0.005893935,loss,153378
NA-4,Swat-3,Khyber Paktunkhwa (NWFP),Muhammad Moosa Khan,Independents,251,0.00163648,loss,153378
NA-5,Upper Dir,Khyber Paktunkhwa (NWFP),Sahibzada Sibghatullah,Pakistan Tehreek-e-Insaf,66545,0.430349867,win,154630
NA-5,Upper Dir,Khyber Paktunkhwa (NWFP),Najmuddin Khan,Pakistan Peoples Party (Shaheed Bhutto),53967,0.349007308,loss,154630
NA-5,Upper Dir,Khyber Paktunkhwa (NWFP),Muhammad Nisar Khan,Pakistan Muslim League (Nawaz),14462,0.093526483,loss,154630
NA-5,Upper Dir,Khyber Paktunkhwa (NWFP),Malak Imran Khan,Awami National Party,8529,0.055157473,loss,154630
NA-5,Upper Dir,Khyber Paktunkhwa (NWFP),Sahibzada Tariqullah,Muttahidda Majlis-e-Amal Pakistan,4623,0.029897174,loss,154630
NA-5,Upper Dir,Khyber Paktunkhwa (NWFP),Riazullah,Independents,2861,0.018502231,loss,154630
NA-5,Upper Dir,Khyber Paktunkhwa (NWFP),Subhan Ali,All Pakistan Muslim League,1910,0.012352066,loss,154630
NA-5,Upper Dir,Khyber Paktunkhwa (NWFP),Hanifullah Khan,Independents,1241,0.00802561,loss,154630
NA-5,Upper Dir,Khyber Paktunkhwa (NWFP),Inayatul Haq,Pak Sarzameen Party,371,0.002399276,loss,154630
NA-5,Upper Dir,Khyber Paktunkhwa (NWFP),Umar Zaib Khan,Pakistan Muslim League ,121,0.000782513,loss,154630
NA-6,Lower Dir,Khyber Paktunkhwa (NWFP),Mehboob Shah,Pakistan Tehreek-e-Insaf,63440,0.380290133,win,166820
NA-6,Lower Dir,Khyber Paktunkhwa (NWFP),Molana Asadullah,Muttahidda Majlis-e-Amal Pakistan,36665,0.219787795,loss,166820
NA-6,Lower Dir,Khyber Paktunkhwa (NWFP),Muhammad Zahid Khan,Awami National Party,30682,0.183922791,loss,166820
NA-6,Lower Dir,Khyber Paktunkhwa (NWFP),Ahmad Hassan,Pakistan Peoples Party (Shaheed Bhutto),27774,0.166490828,loss,166820
NA-6,Lower Dir,Khyber Paktunkhwa (NWFP),Javed Akhtar,Pakistan Muslim League (Nawaz),3600,0.021580146,loss,166820
NA-6,Lower Dir,Khyber Paktunkhwa (NWFP),Ihsan Ullah,Tehreek-e-Labbaik,3166,0.01897854,loss,166820
NA-6,Lower Dir,Khyber Paktunkhwa (NWFP),Amjad Ali,Allah-o-Akbar Tehreek,818,0.004903489,loss,166820
NA-6,Lower Dir,Khyber Paktunkhwa (NWFP),Habibullah,All Pakistan Muslim League,675,0.004046277,loss,166820
NA-7,Lower Dir 2,Khyber Paktunkhwa (NWFP),Muhammad Bashir Khan,Pakistan Tehreek-e-Insaf,63017,0.477502804,win,131972
NA-7,Lower Dir 2,Khyber Paktunkhwa (NWFP),Siraj Ul Haq,Muttahidda Majlis-e-Amal Pakistan,46040,0.34886188,loss,131972
NA-7,Lower Dir 2,Khyber Paktunkhwa (NWFP),Nazir Khan,Awami National Party,19543,0.148084442,loss,131972
NA-7,Lower Dir 2,Khyber Paktunkhwa (NWFP),Muhammad Khalid,Allah-o-Akbar Tehreek,1313,0.00994908,loss,131972
NA-7,Lower Dir 2,Khyber Paktunkhwa (NWFP),Sobia Shahid,Pakistan Muslim League (Nawaz),1256,0.00951717,loss,131972
NA-7,Lower Dir 2,Khyber Paktunkhwa (NWFP),Syed Shahid Ahmad Jan,Pakistan Peoples Party (Shaheed Bhutto),313,0.002371715,loss,131972
NA-7,Lower Dir 2,Khyber Paktunkhwa (NWFP),Abdul Ghaffar Khan,All Pakistan Muslim League,305,0.002311096,loss,131972
NA-7,Lower Dir 2,Khyber Paktunkhwa (NWFP),Mubarak Jan,Independents,185,0.001401813,loss,131972
NA-8,Malakand,Khyber Paktunkhwa (NWFP),Junaid Akbar,Pakistan Tehreek-e-Insaf,81310,0.385651543,win,210838
NA-8,Malakand,Khyber Paktunkhwa (NWFP),Bilawal Bhutto Zardari,Pakistan Peoples Party (Shaheed Bhutto),43724,0.207381971,loss,210838
NA-8,Malakand,Khyber Paktunkhwa (NWFP),Mian Gul Khurram,Independents,33836,0.160483404,loss,210838
NA-8,Malakand,Khyber Paktunkhwa (NWFP),Maulana Gul Naseeb Khan,Muttahidda Majlis-e-Amal Pakistan,31739,0.150537379,loss,210838
NA-8,Malakand,Khyber Paktunkhwa (NWFP),Inam Ullah Khan,Awami National Party,11406,0.054098407,loss,210838
NA-8,Malakand,Khyber Paktunkhwa (NWFP),Amir Nawab,Pakistan Muslim League (Nawaz),3292,0.015613884,loss,210838
NA-8,Malakand,Khyber Paktunkhwa (NWFP),Muhammad Khan,Independents,1986,0.009419554,loss,210838
NA-8,Malakand,Khyber Paktunkhwa (NWFP),Zafaryab Khan,Qaumi Watan Party,1156,0.005482883,loss,210838
NA-8,Malakand,Khyber Paktunkhwa (NWFP),Shams Ul Haq,Independents,985,0.004671833,loss,210838
NA-8,Malakand,Khyber Paktunkhwa (NWFP),Fazal Muhammad,Independents,565,0.002679783,loss,210838
NA-8,Malakand,Khyber Paktunkhwa (NWFP),Alamgir,Independents,400,0.001897191,loss,210838
NA-8,Malakand,Khyber Paktunkhwa (NWFP),Taj Badshah,All Pakistan Muslim League,244,0.001157287,loss,210838
NA-8,Malakand,Khyber Paktunkhwa (NWFP),Hussain Khan,Independents,195,0.000924881,loss,210838
NA-9,Buner,Khyber Paktunkhwa (NWFP),Sher Akbar Khan,Pakistan Tehreek-e-Insaf,58037,0.334823695,win,173336
NA-9,Buner,Khyber Paktunkhwa (NWFP),Kamran Khan,Pakistan Muslim League (Nawaz),38358,0.221292749,loss,173336
