NO. OF CONSTITUENCY,NAME OF CONSTITUENCY,NAME OF PROVINCE,POPULATION,Party ,Candidates
NA-1,Chitral Upper-cum-Chitral Lower,Khyber Pakhtunkhwa,"515,935",PPP,Fazli Rabbi
NA-1,Chitral Upper-cum-Chitral Lower,Khyber Pakhtunkhwa,"515,935",JUI(F),Muhammad Talha Mahmood
NA-1,Chitral Upper-cum-Chitral Lower,Khyber Pakhtunkhwa,"515,935",ANP ,Khadija Bibi
NA-1,Chitral Upper-cum-Chitral Lower,Khyber Pakhtunkhwa,"515,935",PMLN ,Iftikhar uddin
NA-1,Chitral Upper-cum-Chitral Lower,Khyber Pakhtunkhwa,"515,935",Pakistan Tehreek-e-Insaf,Abdul Latif
NA-2,SWAT-1,Khyber Pakhtunkhwa,"883,636",Pakistan Tehreek-e-Insaf,Dr. Amjad
NA-2,SWAT-1,Khyber Pakhtunkhwa,"883,636",PPP,Haider Ali Khan
NA-2,SWAT-1,Khyber Pakhtunkhwa,"883,636",PMLN ,Amir Muqam
NA-2,SWAT-1,Khyber Pakhtunkhwa,"883,636",ANP ,Muhammad Ayub Khan
NA-2,SWAT-1,Khyber Pakhtunkhwa,"883,636",JI,Naveed Igbal
NA-2,SWAT-1,Khyber Pakhtunkhwa,"883,636",JUI(F),Abdul Ghafoor
NA-3,SWAT-2,Khyber Pakhtunkhwa,"867,243",Pakistan Tehreek-e-Insaf,Saleem ur Rehman
NA-3,SWAT-2,Khyber Pakhtunkhwa,"867,243",PPP,Shaharyar Amirzeb
NA-3,SWAT-2,Khyber Pakhtunkhwa,"867,243",PMLN ,Muhammad Nisar Khan
NA-3,SWAT-2,Khyber Pakhtunkhwa,"867,243",ANP ,Sher Baz Khan
NA-3,SWAT-2,Khyber Pakhtunkhwa,"867,243",JI,Sahib Zada Tariq Ullah
NA-3,SWAT-2,Khyber Pakhtunkhwa,"867,243",JUI(F),Kaisar Khan
NA-4,SWAT-3,Khyber Pakhtunkhwa,"936,506",Pakistan Tehreek-e-Insaf,Sohail Sultan
NA-4,SWAT-3,Khyber Pakhtunkhwa,"936,506",PPP,Kamal Khan
NA-4,SWAT-3,Khyber Pakhtunkhwa,"936,506",ANP ,Muhammad Saleem Khan
NA-4,SWAT-3,Khyber Pakhtunkhwa,"936,506",Jamiat Ulema-e-Islam (F),Rahim Ullah
NA-4,SWAT-3,Khyber Pakhtunkhwa,"936,506",Pakistan Tahreek Insaf Parliamentarian,Mehmood Khan
NA-5,Upper Dir,Khyber Pakhtunkhwa,"1,083,566",Pakistan Tehreek-e-Insaf,Sahibzada Sibghatullah Virk
NA-5,Upper Dir,Khyber Pakhtunkhwa,"1,083,566",PPP,Najam Uddin Khan
NA-5,Upper Dir,Khyber Pakhtunkhwa,"1,083,566",PMLN ,Muhammad Nisar Khan
NA-5,Upper Dir,Khyber Pakhtunkhwa,"1,083,566",ANP ,Bahadar Khan
NA-5,Upper Dir,Khyber Pakhtunkhwa,"1,083,566",Jamiat Ulema-e-Islam (F),Muhammad Nabi
NA-5,Upper Dir,Khyber Pakhtunkhwa,"1,083,566",Jamaat-e-Islami Pakistan ,Sahib Zada Tariq Ullah
NA-5,Upper Dir,Khyber Pakhtunkhwa,"1,083,566",Pakistan Tahreek Insaf Parliamentarian,Muhammad Ibrahim
NA-6,Lower Dir-1,Khyber Pakhtunkhwa,"853,612",Pakistan Tehreek-e-Insaf,Bashir Khan
NA-6,Lower Dir-1,Khyber Pakhtunkhwa,"853,612",PPP,Muhammad Hanif 
NA-6,Lower Dir-1,Khyber Pakhtunkhwa,"853,612",PMLN ,Roh Ullah Khan
NA-6,Lower Dir-1,Khyber Pakhtunkhwa,"853,612",ANP ,Muhammad Zahid Khan
